kelurahan,pemilih,pengguna_hak_pilih,perolehan_suara_1,perolehan_suara_2,suara_sah,suara_tidak_sah,total_suara,data_masuk,resource
BANJAR SUGIHAN,7.249,4.44,688,3.684,4.372,68,4.44,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tandes
KARANG POH,9.836,5.61,787,4.76,5.547,63,5.61,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tandes
MANUKAN KULON,24.195,14.619,1.909,12.475,14.384,226,14.315,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tandes
MANUKAN WETAN,6.222,3.681,467,3.147,3.614,67,3.681,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tandes
TANDES,6.032,4.039,431,3.542,3.973,66,4.039,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tandes
DR. SOETOMO,13.559,6.014,820,4.89,5.912,103,6.015,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tegalsari
KEDUNGDORO,19.603,8.357,966,7.27,8.137,120,8.357,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tegalsari
KEPUTRAN,10.989,5.888,686,5.068,5.485,96,5.581,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tegalsari
TEGALSARI,14.292,6.579,859,5.598,6.247,120,6.367,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tegalsari
WONOREJO,22.375,9.257,1.234,7.878,9.32,146,9.258,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tegalsari
KENDANGSARI,11.188,5.817,598,5.144,5.742,75,5.817,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tenggilis_mejoyo
KUTISARI,12.321,7.423,810,6.514,7.324,99,7.423,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tenggilis_mejoyo
PANJANG JIWO,9.025,4.697,511,4.104,4.615,82,4.697,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tenggilis_mejoyo
TENGILIS MEJOYO,7.324,4.109,414,3.292,4.039,69,4.108,100.00%,https://pilkada2015.kpu.go.id/surabayakota/tenggilis_mejoyo
BABATAN,20.057,9.687,990,8.549,9.539,148,9.687,100.00%,https://pilkada2015.kpu.go.id/surabayakota/wiyung
BALAS KLUMPRIK,8.58,5.003,635,4.265,4.9,103,5.003,100.00%,https://pilkada2015.kpu.go.id/surabayakota/wiyung
JAJAR TUNGGAL,7.7,4.159,447,3.634,4.081,78,4.159,100.00%,https://pilkada2015.kpu.go.id/surabayakota/wiyung
WIYUNG,12.892,7.308,719,6.479,7.198,110,7.308,100.00%,https://pilkada2015.kpu.go.id/surabayakota/wiyung
BENDUL MERISI,11.328,5.955,764,5.089,5.853,102,5.955,100.00%,https://pilkada2015.kpu.go.id/surabayakota/wonocolo
JEMUR WONOSARI,15.114,8.005,1.248,6.642,7.89,108,8.005,100.00%,https://pilkada2015.kpu.go.id/surabayakota/wonocolo
MARGOREJO,8.618,4.296,569,3.65,4.219,77,4.296,100.00%,https://pilkada2015.kpu.go.id/surabayakota/wonocolo
SIDOSERMO,9.338,4.631,586,3.977,4.563,69,4.632,100.00%,https://pilkada2015.kpu.go.id/surabayakota/wonocolo
SIWALAN KERTO,10.532,6.568,769,5.69,6.459,109,6.568,100.00%,https://pilkada2015.kpu.go.id/surabayakota/wonocolo
DARMO,11.252,5.423,760,4.566,5.326,97,5.423,100.00%,https://pilkada2015.kpu.go.id/surabayakota/wonokromo
JAGIR,14.868,7.271,1.186,5.961,7.147,124,7.271,100.00%,https://pilkada2015.kpu.go.id/surabayakota/wonokromo
NGAGEL,7.876,4.267,644,3.842,4.486,76,4.562,100.00%,https://pilkada2015.kpu.go.id/surabayakota/wonokromo
NGAGEL REJO,31.065,17.351,2.427,14.648,17.075,279,17.354,100.00%,https://pilkada2015.kpu.go.id/surabayakota/wonokromo
SAWUNGGALING,18.259,9.812,1.926,7.679,9.605,207,9.812,100.00%,https://pilkada2015.kpu.go.id/surabayakota/wonokromo
WONOKROMO,28.106,14.541,2.131,12.44,14.571,236,14.807,100.00%,https://pilkada2015.kpu.go.id/surabayakota/wonokromo
