id_calon,ringkasan
1102-00-0000-0302,"1985, SDN TELADAN LEMBAYONG"
1102-00-0000-0302,"1988, SMPN 13 DARUSSALAM BANDA ACEH"
1102-00-0000-0302,"1991, SMAN 3 BANDA ACEH"
1102-00-0000-0302,"1998, S1 UNIVERSITAS SYIAH KUALA"
1102-00-0000-0303,"1980-1986, SDN RANTAU PAUH"
1102-00-0000-0303,"1986-1990, SLTPN RANTAU PAUH"
1102-00-0000-0303,"1990-1992, SLTAN KUALA SIMPANG"
1102-00-0000-0303,"1992-1996, D3 FAKULTAS EKONOMI UNSYIAH"
1102-00-0000-0303,"1996-1999, S1 FAKULTAS EKONOMI UNSYIAH"
1102-00-0000-0303,"2001-2007, S2 MANAJEMEN PENDIDIKAN UNSYIAH"
1102-00-0000-0303,"2007-2012, S3 DOKTORAL MANAJEMEN PENDIDIKAN UNJ"
