id,province_id,region_id,id_participant,endorsement_type,endorsement,vote_type,acceptance_status,document_completeness,research_result,acceptance_document_repair,amount_support,amount_support_repair,amount_support_determination,eligibility_support,eligibility_support_repair,pertahana,dynasty,amount_women,incumbent,resource,information
90,21,26815,715,PARPOL,"PDIP, PAN, Partai Hanura",KURSI,DITERIMA,TIDAK LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=715,2
91,35,44903,1062,PARPOL,"PDIP, Partai Gerindra",KURSI,DITERIMA,,,,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1062,1
92,33,39074,482,PARPOL,"PDIP, Partai Gerindra",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=482,1
93,33,39074,228,PARPOL,"PKB, Partai NasDem, Partai Hanura",KURSI,DITERIMA,LENGKAP,,,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=228,2
94,33,39074,1044,PARPOL,"Partai Golkar, Partai Demokrat",KURSI,DITERIMA,,,,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1044,3
95,71,69906,348,PARPOL,"PDIP, PAN",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=348,1
96,71,69906,654,PARPOL,"Partai Hanura, Partai Gerindra, PPP",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=654,2
97,71,69819,1201,PARPOL,"Partai Hanura, PKS",KURSI,DITERIMA,,,,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1201,1
98,71,69819,1205,PARPOL,"PDIP, Partai NasDem",KURSI,DITERIMA,LENGKAP,,,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1205,2
99,71,69819,1200,PARPOL,"PAN, Partai Gerindra, Partai Demokrat, PKB",KURSI,DITERIMA,LENGKAP,,,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1200,3
100,75,78559,1009,PARPOL,"PPP, Partai Hanura",KURSI,DITERIMA,TIDAK LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1009,1
101,75,78559,815,PARPOL,"PDIP, Partai Gerindra",KURSI,DITERIMA,TIDAK LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=815,2
102,75,78559,28,PERORANGAN,,,,,,,19761,Tidak diset,Tidak diset,A,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=28,3
103,75,78559,1007,PARPOL,"PAN, PKPI",KURSI,DITERIMA,TIDAK LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1007,4
104,75,78559,806,PARPOL,"PKS, Partai Demokrat",KURSI,DITERIMA,TIDAK LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=806,5
105,75,78559,826,PARPOL,"Partai Golkar, PBB",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=826,6
106,91,86129,682,PERORANGAN,,,,,,,6090,4808,4494,A,A,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=682,1
107,91,86129,1124,PARPOL,"PDIP, PPP",KURSI,DITERIMA,TIDAK LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1124,2
108,91,86129,698,PARPOL,"Partai Gerindra, Partai Hanura, Partai Golkar",KURSI,DITERIMA,TIDAK LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=698,3
109,91,86129,674,PERORANGAN,,,,,,,1,Tidak diset,Tidak diset,A,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=674,5
110,33,37135,257,PARPOL,PDIP,KURSI,DITERIMA,,,,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=257,1
111,33,37135,480,PARPOL,"Partai Gerindra, PKS, PKB",KURSI,DITERIMA,,,,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=480,2
112,73,72551,1199,PARPOL,"Partai Demokrat, Partai NasDem, Partai GERINDRA",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1199,1
113,73,72551,1022,PARPOL,"Partai Golkar, Partai Keadilan Sejahterah",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1022,2
114,73,72551,906,PERORANGAN,,,,,,,39102,32627,47932,A,A,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=906,3
