id_calon,ringkasan
1200-00-0000-0010,SARJANA S1 FAKULTAS EKONOMI AKUNTANSI SELESAI TAHUN 1998 DI UNIVERSITAS PANCA BUDI MEDAN.
1200-00-0000-0011,"S2 Hukum Bisnis, Univ. Padjadjaran-Bandung - 2002"
1200-00-0000-0011,"S1 Fak. Pertanian, Univ. Medan Area-Medan - 1988"
1200-00-0000-0011,SPMA Negeri Padang - 1982
1200-00-0000-0011,SMP Negeri XIII Medan - 1979
1200-00-0000-0011,SD Negeri 2 Harjosari Marindal Medan - 1976
1200-00-0000-0012,"SD Negreri No. 03. Jln Selat Lancang, Tanjung Balai Asahan - Sumatera Utara Tamat Tahun 1972."
1200-00-0000-0012,"PGAA Alfalah Jln Sudirman Tanjung Balai, Sumatera Utara Tamat Tahun 1981."
1200-00-0000-0012,IAIN Medan. Jln Sutomo Medan - Sumatera Utara. Tamat Tahun 1991
1200-00-0000-0013,SD NEGERI HUTAGODANG TAMAT 1966
1200-00-0000-0013,PGAN 6 TAHUN TAMAT 1972
1200-00-0000-0013,S-1 USHULUDDIN IAIN MEDAN TAMAT 1983
1200-00-0000-0013,S-2 MAP UMA TAMAT 2002
1200-00-0000-0014,S-1 (SARJANA) UNIVERSITAS RIAU - 1995 (LULUS)
1200-00-0000-0014,SMA BUDIMULIA - 1988 (LULUS)
1200-00-0000-0015,"Pesantren Persatuan Islam Bangil,Jawa Timur (1986)"
1200-00-0000-0015,Sekolah Tinggi Agama Islam Sumatera (STAI.S) (2004)
1200-00-0000-0015,Magister Studi Pembangunan USU Medan (2008)
1200-00-0000-0016,SD Negeri Doulu tahun 1975
1200-00-0000-0016,SMP Negeri Berastagi 1979S1 Fakultas Tenik Sipil UDA Medan 1992
1200-00-0000-0016,SMA Negeri Berastagi tahun 1982
1200-00-0000-0016,S1 Pendidikan Teknik Bangunan IKIP Medan 1988
1200-00-0000-0016,S1 Teknik Sipil Universitas Darma Agung Medan 1992
1200-00-0000-0017,Alamat:Jl. Sriwijaya 7 Medan
1200-00-0000-0017,Lulus Tahun: 1973
1200-00-0000-0017,SMP St. Thomas 1 Medan
