id_calon,ringkasan
1200-00-0000-0023,Anggota DPRD Deli Serfang Tahun 2004-2009
1200-00-0000-0023,Rektor Universitas Sisingamangaraja XII Tahun 2012-Sekarang
1200-00-0000-0024,1992-1994 Fakultas Pertanian Univ. HKBP Nommensen Medan Asisten Dosen
1200-00-0000-0024,1996-1997 Majalah SINAR Wartawan
1200-00-0000-0024,1998-2000 Aliansi Gerakan Rakyat Sumatera Utara Koordinator pendidikan politik
1200-00-0000-0024,1999-2001 Institute for Parliament Watch (IPW) Manager Program
1200-00-0000-0024,2007-2009 Lembaga Pencerahan dan Advokasi Masyarakat Nias (LPAM Nias) Ketua Badan pengawas
1200-00-0000-0024,2003-sekarang KPU Provinsi Sumatera Utara Anggota/Divisi Tenknis Penyelengga-raan Pemilu
1200-00-0000-0024,2012-sekarang Politica Institute Konsultan
1300-00-0000-0001,Kepala Badan Pemberdayaan Perempuan dan Keluarga Berencana
1300-00-0000-0001,Kepala Biro Pemberdayaan Perempuan Provinsi Sumatera Barat TMT Jabatan 11-04-2006
1300-00-0000-0001,Kabid Diklat Pimpinan Badan Diklat Prov Sumbar TMT Jabatan 01-10-2003
1300-00-0000-0001,Sekretaris Badan Diklat Prov Ssumbar TMT Jabatan 20-08-2001
1300-00-0000-0001,Kabag Tata Usaha Diklat Prov Sumbar TMT Jabatan 04-03-1997
1300-00-0000-0001,Kasi Penyuluhan Umum Diklat Prov. Sumbar TMT Jabatan 25-08-1994
1300-00-0000-0001,Kasi Bimbingan Siswa Diklat Prov Sumbar TMT Jabatan 01-10-1985
