id_calon,riwayat_pendidikan
1301-00-0000-0401,"1990-1996 FH Frankfurt AM MAIN, Jerman"
1301-00-0000-0401,2004-2008 Fisipol UNES Padang
1301-00-0000-0802,"Fak. Hukum, STIH Padang, Padang, 2008-2012"
1301-00-0000-0802,"SMA Persaman, Padang, 2000-2003"
1301-00-0000-0802,"SMP Muhammadiyah Sungai Penuh Kerinci,, 1965-1968"
1301-00-0000-0802,"SD 1 Paralawas, Sungkai, Padang, 1956-1965"
1302-00-0000-0501,"1977-1980, SMA NEGERI PADANG, PADANG"
1302-00-0000-0501,"1980-1986, SARJANA HUKUM UNIV.PARTHIYANGAN,"
1302-00-0000-0902,SD Al-Ulum Medan Tahun 1987
1302-00-0000-0902,SMP Negeri3 Medan Tahun 1990
1302-00-0000-0902,SMA Tunas Kartika I Medan Tahun 1993
1302-00-0000-0902,Sarjana Ekonomi Universitas Pancasila Jakarta Tahun 2000
1302-00-0000-0902,Master of Commerce University of Western Sidney Australia Tahun 2003
1302-00-0000-0604,SD Islam Masyithah Bukittuggi (Lulus Tahun 2000)
1302-00-0000-0604,SLTPN 6 Bukittinggi (Lulus Tahun 2003)
1302-00-0000-0604,SMAN 6 Bukittinggi (Lulus Tahun 2006)
1302-00-0000-0604,Universitas Trisakti Jakarta (Lulus Tahun 2011)
1302-00-0000-0302,IAIN Syarif Hidayatullah Jakarta (1982) tidak tamat
1302-00-0000-0302,Akademi Peleyaran Djadajat Jakut (1979) tidak tamat
1302-00-0000-0302,STM III Kebon Sereh Jaktim (1979)
1302-00-0000-0302,STN IV jl. Budi Utomo Jakpus (1987)
1302-00-0000-0302,SDN I Budi Utomo Jakpus (1972)
1302-00-0000-0702,"Sarjana Teknik Lingkungan, Universitas Trisakti Jakarta, Tahun 1994."
1302-00-0000-0702,"Sarjana Muda Teknik Lingkungan, Akademi Teknik Pekerjaan Umum (ATPU) Bandung, Tahun 1987."
1302-00-0000-0702,"SMANegeri 11 Bandung, Tahun 1983."
1302-00-0000-0702,"SMP Negeri Gadut Kab. Agam, Tahun 1980"
