id,name,home_url
227,KALIMANTAN SELATAN,https://pilkada2015.kpu.go.id/kalselprov
228,KALIMANTAN TENGAH,
229,KALIMANTAN UTARA,https://pilkada2015.kpu.go.id/kaltaraprov
230,KEPULAUAN RIAU,https://pilkada2015.kpu.go.id/kepriprov
231,KOTA BALIKPAPAN,https://pilkada2015.kpu.go.id/balikpapankota
232,KOTA BANDAR LAMPUNG,https://pilkada2015.kpu.go.id/bandarlampungkota
233,KOTA BANJARBARU,https://pilkada2015.kpu.go.id/banjarbarukota
234,KOTA BANJARMASIN,https://pilkada2015.kpu.go.id/banjarmasinkota
235,KOTA BATAM,https://pilkada2015.kpu.go.id/batamkota
236,KOTA BINJAI,https://pilkada2015.kpu.go.id/binjaikota
237,KOTA BITUNG,https://pilkada2015.kpu.go.id/bitungkota
238,KOTA BLITAR,https://pilkada2015.kpu.go.id/blitarkota
239,KOTA BONTANG,https://pilkada2015.kpu.go.id/bontangkota
240,KOTA BUKITTINGGI,https://pilkada2015.kpu.go.id/bukittinggikota
241,KOTA CILEGON,https://pilkada2015.kpu.go.id/cilegonkota
242,KOTA DENPASAR,https://pilkada2015.kpu.go.id/denpasarkota
243,KOTA DEPOK,https://pilkada2015.kpu.go.id/depokkota
244,KOTA DUMAI,https://pilkada2015.kpu.go.id/dumaikota
245,KOTA GUNUNGSITOLI,https://pilkada2015.kpu.go.id/gunungsitolikota
246,KOTA MAGELANG,https://pilkada2015.kpu.go.id/magelangkota
247,KOTA MANADO,
248,KOTA MATARAM,https://pilkada2015.kpu.go.id/mataramkota
249,KOTA MEDAN,https://pilkada2015.kpu.go.id/medankota
250,KOTA METRO,https://pilkada2015.kpu.go.id/metrokota
251,KOTA PALU,https://pilkada2015.kpu.go.id/palukota
252,KOTA PASURUAN,https://pilkada2015.kpu.go.id/pasuruankota
253,KOTA PEKALONGAN,https://pilkada2015.kpu.go.id/pekalongankota
254,KOTA PEMATANG SIANTAR,
255,KOTA SAMARINDA,https://pilkada2015.kpu.go.id/samarindakota
256,KOTA SEMARANG,https://pilkada2015.kpu.go.id/semarangkota
257,KOTA SIBOLGA,https://pilkada2015.kpu.go.id/sibolgakota
258,KOTA SOLOK,https://pilkada2015.kpu.go.id/solokkota
259,KOTA SUNGAI PENUH,https://pilkada2015.kpu.go.id/sungaipenuhkota
260,KOTA SURABAYA,https://pilkada2015.kpu.go.id/surabayakota
261,KOTA SURAKARTA,https://pilkada2015.kpu.go.id/surakartakota
262,KOTA TANGERANG SELATAN,https://pilkada2015.kpu.go.id/tangselkota 
263,KOTA TANJUNG BALAI,https://pilkada2015.kpu.go.id/tanjungbalaikota 
264,KOTA TERNATE,https://pilkada2015.kpu.go.id/ternatekota 
265,KOTA TIDORE KEPULAUAN,https://pilkada2015.kpu.go.id/tidorekepkota 
266,KOTA TOMOHON,https://pilkada2015.kpu.go.id/tomohonkota 
267,SULAWESI TENGAH,https://pilkada2015.kpu.go.id/sultengprov/
268,SULAWESI UTARA,https://pilkada2015.kpu.go.id/sulutprov/
269,SUMATERA BARAT,https://pilkada2015.kpu.go.id/sumbarprov/
