id,nama_calon,nama_wakil_calon,qwords
125,"H. ALPIDRI SUPIAN NOOR, SE","IR. H. GT. SYAFRIN MASRIN, MApp, Sc","info pasangan calon H. ALPIDRI SUPIAN NOOR, SE IR. H. GT. SYAFRIN MASRIN, MApp, Sc"
720,"H. RUDI SURYANA S.Sos., MM.Pd","M. REZKI OKTAVIANOOR, S.Sos., M.Si","info pasangan calon H. RUDI SURYANA S.Sos., MM.Pd M. REZKI OKTAVIANOOR, S.Sos., M.Si"
130,"H. M. IQBAL YUDIANNOOR, SE","H. SAHIDUDDIN, S.Ag, MAP","info pasangan calon H. M. IQBAL YUDIANNOOR, SE H. SAHIDUDDIN, S.Ag, MAP"
131,"MUHAMAD ALAMSYAH, ST, M.AP",H. RISDIANTO HALENG. HB,"info pasangan calon MUHAMAD ALAMSYAH, ST, M.AP H. RISDIANTO HALENG. HB"
445,"H. IRHAMI RIDJANI, S.Sos., M.Si",IR. H. SYAMSUL ALAM AZHAR,"info pasangan calon H. IRHAMI RIDJANI, S.Sos., M.Si IR. H. SYAMSUL ALAM AZHAR"
1251,SAYED JAFAR ALAYDRUS,BURHANUDDIN,info pasangan calon SAYED JAFAR ALAYDRUS BURHANUDDIN
725,"SUPIAN HADI, S.Ikom",Drs.H.M.TAUFIQ MUKRI,"info pasangan calon SUPIAN HADI, S.Ikom Drs.H.M.TAUFIQ MUKRI"
730,MUHAMMAD ARSYAD,NADIANSYAH,info pasangan calon MUHAMMAD ARSYAD NADIANSYAH
733,DJUNAIDY DRAKERL,"HARYANTO, SH","info pasangan calon DJUNAIDY DRAKERL HARYANTO, SH"
330,Ir.H. Marjan Ustha,"Muslim, S.Sos.","info pasangan calon Ir.H. Marjan Ustha Muslim, S.Sos."
402,"Indra Putra, ST","Komperensi, SP,M.Si","info pasangan calon Indra Putra, ST Komperensi, SP,M.Si"
774,"Drs.H.Mursini,M.Si",H.Halim,"info pasangan calon Drs.H.Mursini,M.Si H.Halim"
623,"FX. YAPAN, SH","H. EDYANTO ARKAN, SE","info pasangan calon FX. YAPAN, SH H. EDYANTO ARKAN, SE"
936,Ir. Rama Alexander Asia,"Mohammad Djailani, SE","info pasangan calon Ir. Rama Alexander Asia Mohammad Djailani, SE"
60,"Drs. Abed Nego, MA","SYAPARUDIN, S.Sos","info pasangan calon Drs. Abed Nego, MA SYAPARUDIN, S.Sos"
61,"AMANTIUS UGAU, SE, MM","MURI, SH","info pasangan calon AMANTIUS UGAU, SE, MM MURI, SH"
608,"Hj. Norbaiti, A.Md",Ir. Oerdiansyah,"info pasangan calon Hj. Norbaiti, A.Md Ir. Oerdiansyah"
545,"Ir. H. Ismunandar, MT","Kasmidi Bulang, ST, MM","info pasangan calon Ir. H. Ismunandar, MT Kasmidi Bulang, ST, MM"
606,"Drs. H. Ardiansyah Sulaiman, M.Si",Alfian Aswad,"info pasangan calon Drs. H. Ardiansyah Sulaiman, M.Si Alfian Aswad"
568,"H. Pangonal, SE, M.SI","Andi Suhaimi Dalimunthe, ST, MT","info pasangan calon H. Pangonal, SE, M.SI Andi Suhaimi Dalimunthe, ST, MT"
928,Dr. Ir. H. Zainal Arifin Dalimunthe,"Wira Abdi, S.SI, MSP","info pasangan calon Dr. Ir. H. Zainal Arifin Dalimunthe Wira Abdi, S.SI, MSP"
929,"Mahini Rizal, ST.",Waluyo,"info pasangan calon Mahini Rizal, ST. Waluyo"
52,"DR. H. TIGOR PANUSUNAN SIREGAR, SP.PD",DR. H. ERIK ADTRADA RITONGA,"info pasangan calon DR. H. TIGOR PANUSUNAN SIREGAR, SP.PD DR. H. ERIK ADTRADA RITONGA"
57,"SUHARI, S.IP","IHSAN RAMBE, SE, M.SI","info pasangan calon SUHARI, S.IP IHSAN RAMBE, SE, M.SI"
41,BASYARUDDIN SIREGAR,"YUSPIN, SH","info pasangan calon BASYARUDDIN SIREGAR YUSPIN, SH"
543,"H. WILDAN ASWAN TANJUNG, SH, MM",Kholil Jufri Harahap,"info pasangan calon H. WILDAN ASWAN TANJUNG, SH, MM Kholil Jufri Harahap"
959,"H. Usman, SE.M.Si.",Arwi Winata,"info pasangan calon H. Usman, SE.M.Si. Arwi Winata"
