id,jenis_wilayah,nama_wilayah,jumlah_ppk,jumlah_pps,jumlah_tps,jumlah_kpps
45,KOTA,KOTA BENGKULU,9,67,0,0
46,KABUPATEN,KAB. BANTUL,85,225,1768,12376
47,KABUPATEN,KAB. GUNUNG KIDUL,18,144,0,0
48,KABUPATEN,KAB. KERINCI,16,287,0,0
49,KABUPATEN,KAB. SABU RAIJUA,6,63,150,150
50,KABUPATEN,KAB. PEMALANG,70,222,2164,15148
51,PROPINSI,JAMBI,138,1562,7101,0
52,KABUPATEN,KAB. SAROLANGUN,10,158,0,0
53,KABUPATEN,KAB. BATANGHARI,8,124,633,0
54,KABUPATEN,KAB. MUARO JAMBI,11,155,0,0
55,KABUPATEN,KAB. TANJUNG JABUNG BARAT,13,134,645,4515
56,KABUPATEN,KAB. BUNGO,85,459,647,5823
57,KABUPATEN,KAB. TEBO,12,112,0,0
58,KOTA,KOTA JAMBI,8,62,0,0
59,KOTA,KOTA SUNGAI PENUH,40,207,143,1001
60,KABUPATEN,KAB. SUKABUMI,235,1158,4092,36828
61,KABUPATEN,KAB. CIANJUR,32,359,0,0
62,KABUPATEN,KAB. BANDUNG,31,280,5245,36715
63,KABUPATEN,KAB. TASIKMALAYA,39,351,3021,21147
64,KABUPATEN,KAB. INDRAMAYU,155,951,2781,19467
65,KABUPATEN,KAB. KARAWANG,30,309,2633,18431
66,KABUPATEN,KAB. TANJUNG JABUNG TIMUR,11,93,554,3878
67,KOTA,KOTA DEPOK,11,63,3235,3235
68,KABUPATEN,KAB. PURBALINGGA,18,239,1629,11403
69,KABUPATEN,KAB. KEBUMEN,26,460,2385,16695
70,KABUPATEN,KAB. PURWOREJO,16,494,1700,11900
71,KABUPATEN,KAB. WONOSOBO,15,265,1587,11109
72,KABUPATEN,KAB. BOYOLALI,19,267,1291,9037
73,KABUPATEN,KAB. SUKOHARJO,12,167,1353,9471
74,KABUPATEN,KAB. SRAGEN,20,208,1644,11508
75,KABUPATEN,KAB. GROBOGAN,19,280,2343,16401
76,KABUPATEN,KAB. SEMARANG,95,705,1700,11900
77,KABUPATEN,KAB. KENDAL,20,286,1785,12495
78,KOTA,KOTA MAGELANG,3,17,209,1463
79,KOTA,KOTA SURAKARTA,5,51,1000,7000
80,KOTA,KOTA SEMARANG,19,235,0,0
81,KOTA,KOTA PEKALONGAN,4,27,0,0
82,KABUPATEN,KAB. PACITAN,12,171,740,5180
83,KABUPATEN,KAB. PONOROGO,21,307,1721,12047
84,KABUPATEN,KAB. BLITAR,22,248,0,0
85,KABUPATEN,KAB. KEDIRI,130,1032,2830,19810
86,KABUPATEN,KAB. JEMBER,31,248,4347,0
87,KABUPATEN,KAB. BANYUWANGI,120,651,2860,20020
88,KABUPATEN,KAB. SITUBONDO,17,136,1753,0
89,KABUPATEN,KAB. SIDOARJO,18,349,2464,17248
90,KABUPATEN,KAB. NGAWI,19,217,1545,10815
91,KABUPATEN,KAB. TUBAN,20,328,0,0
92,KABUPATEN,KAB. LAMONGAN,27,474,2557,0
93,KABUPATEN,KAB. GRESIK,18,356,2193,15351
94,KOTA,KOTA BLITAR,3,21,311,2177
95,KOTA,KOTA PASURUAN,4,34,300,2100
96,KOTA,KOTA SURABAYA,31,154,3936,27552
97,KABUPATEN,KAB. SAMBAS,19,184,1115,7805
98,KABUPATEN,KAB. KETAPANG,20,249,0,0
99,KABUPATEN,KAB. KAPUAS HULU,23,282,0,0
100,KABUPATEN,KAB. KOTABARU,21,202,0,0
101,KABUPATEN,KAB. PANGKAJENE KEPULAUAN,65,309,606,4242
102,KABUPATEN,KAB. HULU SUNGAI TENGAH,11,169,0,0
103,KABUPATEN,KAB. TANAH BUMBU,10,150,0,0
104,KOTA,KOTA BANJARMASIN,5,52,0,0
105,KOTA,KOTA BANJARBARU,5,20,0,0
106,KABUPATEN,KAB. KOTAWARINGIN BARAT,17,185,0,0
107,KABUPATEN,KAB. KAPUAS,17,231,0,0
108,KABUPATEN,KAB. BARITO SELATAN,6,93,0,0
109,KABUPATEN,KAB. MURUNG RAYA,10,125,0,0
110,KABUPATEN,KAB. PASER,10,144,0,0
111,KABUPATEN,KAB. KUTAI KARTANEGARA,18,237,1561,10927
112,KABUPATEN,KAB. BERAU,13,110,476,3332
113,KABUPATEN,KAB. KUTAI TIMUR,18,135,674,4718
114,KABUPATEN,KAB. MAHAKAM ULU,5,50,71,0
115,KOTA,KOTA BALIKPAPAN,30,102,1360,9520
116,KOTA,KOTA SAMARINDA,10,59,0,0
117,KOTA,KOTA DUMAI,35,99,493,3451
118,KABUPATEN,KAB. MALINAU,15,109,180,180
119,KABUPATEN,KAB. NUNUKAN,16,240,509,3563
120,KABUPATEN,KAB. TANA TIDUNG,5,29,51,51
121,KABUPATEN,KAB. BANGKA SELATAN,40,159,427,2989
122,KABUPATEN,KAB. BANGKA TENGAH,6,63,351,351
123,KABUPATEN,KAB. BANGKA BARAT,6,64,355,355
124,KABUPATEN,KAB. BELITUNG TIMUR,7,39,242,242
125,KABUPATEN,KAB. KARIMUN,12,71,450,3150
126,KABUPATEN,KAB. NATUNA,12,76,0,0
127,KABUPATEN,KAB. TRENGGALEK,14,157,1300,9100
128,KABUPATEN,KAB. LINGGA,9,81,230,1610
129,KABUPATEN,KAB. KEPULAUAN ANAMBAS,7,54,0,0
130,KOTA,KOTA BATAM,12,64,0,0
131,KOTA,KOTA TANJUNG PINANG,4,18,0,0
132,KABUPATEN,KAB. LAMPUNG SELATAN,85,780,1738,12166
133,KABUPATEN,KAB. LAMPUNG TENGAH,28,933,2411,16877
134,KABUPATEN,KAB. WAY KANAN,14,227,780,5460
135,KABUPATEN,KAB. PESAWARAN,9,144,0,0
136,KOTA,KOTA BANDAR LAMPUNG,20,126,1298,0
137,KOTA,KOTA METRO,5,22,238,1666
138,KABUPATEN,KAB. SERAM BAGIAN TIMUR,15,192,0,0
139,KABUPATEN,KAB. KEPULAUAN ARU,10,119,0,0
140,KABUPATEN,KAB. MINAHASA UTARA,50,393,350,2450
141,KABUPATEN,KAB. MALUKU BARAT DAYA,17,117,169,169
142,KABUPATEN,KAB. HALMAHERA BARAT,8,170,270,1890
143,KABUPATEN,KAB. HALMAHERA UTARA,17,197,0,0
144,KABUPATEN,KAB. HALMAHERA SELATAN,30,249,379,379
145,KABUPATEN,KAB. KEPULAUAN SULA,112,78,0,0
146,KABUPATEN,KAB. HALMAHERA TIMUR,10,102,0,0
147,KABUPATEN,KAB. PULAU TALIABU,8,71,0,0
148,KOTA,KOTA TERNATE,7,77,0,0
149,KOTA,KOTA TIDORE KEPULAUAN,8,89,0,0
150,KOTA,KOTA TIDORE KEPULAUAN,8,89,0,0
151,KABUPATEN,KAB. LOMBOK TENGAH,12,139,0,0
152,KABUPATEN,KAB. SUMBAWA,24,165,0,0
153,KABUPATEN,KAB. DOMPU,8,81,0,0
154,KABUPATEN,KAB. BIMA,18,191,0,0
155,KABUPATEN,KAB. SUMBAWA BARAT,8,64,0,0
156,KABUPATEN,KAB. LOMBOK UTARA,5,33,0,0
157,KOTA,KOTA MATARAM,6,50,0,0
158,KABUPATEN,KAB. NIAS,50,510,338,2366
159,KABUPATEN,KAB. TIMOR TENGAH UTARA,24,193,0,0
160,KABUPATEN,KAB. BELU,12,81,0,0
161,KABUPATEN,KAB. NGADA,12,151,0,0
162,KABUPATEN,KAB. MANGGARAI,11,12,0,0
163,KABUPATEN,KAB. MANGGARAI,11,162,0,0
164,KABUPATEN,KAB. SUMBA TIMUR,22,156,441,441
165,KABUPATEN,KAB. SUMBA BARAT,6,74,0,0
166,KABUPATEN,KAB. MANGGARAI BARAT,50,169,507,3451
167,KABUPATEN,KAB. SABU RAIJUA,6,62,0,0
168,KABUPATEN,KAB. MALAKA,12,127,0,0
169,KABUPATEN,KAB. NABIRE,15,81,0,0
170,KABUPATEN,KAB. KEEROM,7,91,0,0
171,KABUPATEN,KAB. PEGUNUNGAN BINTANG,34,277,0,0
172,KABUPATEN,KAB. YAHUKIMO,51,511,0,0
173,KABUPATEN,KAB. WAROPEN,11,100,0,0
174,KABUPATEN,KAB. BOVEN DIGOEL,20,112,0,0
175,KABUPATEN,KAB. ASMAT,19,221,0,0
176,KABUPATEN,KAB. SUPIORI,5,38,0,0
177,KABUPATEN,KAB. MAMBERAMO RAYA,8,59,103,103
178,KABUPATEN,KAB. YALIMO,5,299,0,0
179,KABUPATEN,KAB. MANOKWARI,9,174,0,0
180,KABUPATEN,KAB. FAK FAK,17,149,0,0
