periode,id_partai,nama_partai,role,nama,id_calon,mata_uang,uang,nilai_barang,unit_barang,nilai_jasa,bentuk_jasa,jumlah,keterangan
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,ANDI SAIFUL HAQ,3102-00-0000-1002,Rp,,,,27500000,,27500000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"Hj. SITI CHATIDJAH, SKM",3102-00-0000-1003,Rp,,,,100000000,,100000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"DR. CHARLETTY CHOESYANA, M.PSi",3102-00-0000-1004,Rp,,,,21000000,,21000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,TAJUDDIEN NOOR BOLIMALAKALU,3102-00-0000-1005,Rp,,,,290000000,,290000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"CHAIRIYAH, SH",3102-00-0000-1006,Rp,,,,100000000,,100000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"TOHIR, SH",3102-00-0000-1007,Rp,,,,50000000,,50000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,KARNA BRATA LESMANA,3103-00-0000-1001,Rp,,,,136118685,,136118685,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"Drs. HARDJADINATA, BAC, MM, M.Si",3103-00-0000-1002,Rp,,,,232504000,,232504000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"DEWI ANDRIANI ARMA, SE, MM",3103-00-0000-1003,Rp,,15240000,,300000000,,315240000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,SARBINI,3103-00-0000-1004,Rp,,,,195430000,,195430000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,DAVID,3103-00-0000-1005,Rp,,,,53687000,,53687000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"DR. Hj. YAYAH YAROTUL SALAMAH, SH",3103-00-0000-1006,Rp,,,,1775000,,1775000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"CARREL TICUALU, SE, SH",3103-00-0000-1007,Rp,,112500000,,731377000,,843877000,
