lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url,tanggal_mulai,tanggal_berakhir,keterangan
DPR,2009,52,NTB,5201-00-0000,NTB,8,PARTAI AMANAT NASIONAL,1,DPR136,"Muhammad Syafrudin, ST",L,Islam,Bima,1968-08-06,Kawin,Raden Ayi Rachmayani,2,,,,,,,,
DPR,2009,52,NTB,5201-00-0000,NTB,9,PARTAI PERSATUAN PEMBANGUNAN,1,DPR137,"H. M. Izzul Islam, S.Mn",L,Islam,Lombok Barat,1970-11-15,Kawin,Hj. Rohaniah Izzul Islam,5,,,,,,,,
DPR,2009,52,NTB,5201-00-0000,NTB,10,PARTAI HATI NURANI RAKYAT,1,DPR138,"H. SUNARDI AYUB, SH",L,Islam,Keruak Lotim,1960-04-24,Kawin,Dra. Hj. Bau Intan,4,,,,,,,,
DPR,2009,52,NTB,5201-00-0000,NTB,3,PARTAI KEADILAN SEJAHTERA,1,DPR139,"Fahri Hamzah, SE",L,Islam,Sumbawa,1971-11-10,Kawin,dr. Farida Briani,3,,,,,,,,
DPR,2009,53,NTT,5301-00-0000,NTT I,5,PARTAI GOLONGAN KARYA,1,DPR140,"Drs. Josef A. Nae Soi, MM",L,Katolik,"Mataloko, Flores",1952-09-22,Kawin,Maria Fransisca Djogo,2,,,,,,,,
DPR,2009,53,NTT,5301-00-0000,NTT I,5,PARTAI GOLONGAN KARYA,2,DPR141,Melchias Marcus Mekeng,L,Katolik,NTT,1963-12-08,Kawin,Maria Laurentia Widyana Soehadi,3,,,,,,,,
DPR,2009,53,NTT,5301-00-0000,NTT I,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,1,DPR142,Honing Sanny,L,Katolik,Nggela Ende,1972-04-13,Kawin,Bernadetha M Sere. N ABA,1,,,,,,,,
DPR,2009,53,NTT,5301-00-0000,NTT I,8,PARTAI AMANAT NASIONAL,1,DPR143,Laurens bahang Dama,L,Katolik,Dewuk,1964-02-13,Kawin,Siena Katrina Timur,2,,,,,,,,
DPR,2009,53,NTT,5301-00-0000,NTT I,6,PARTAI GERAKAN INDONESIA RAYA,1,DPR144,"Pius Lustrilanang, S.IP., M.Si",L,Katolik,Palembang,1968-10-10,Kawin,"Dheasy Suzanti, SH., M.Kn",3,,,,,,,,
DPR,2009,53,NTT,5302-00-0000,NTT II,7,PARTAI DEMOKRAT,1,DPR145,"Anita Jacoba Gah, SE",P,Kristen Protestan,Jakarta,1974-03-09,Belum Kawin,,,,,,,,,,
DPR,2009,53,NTT,5302-00-0000,NTT II,7,PARTAI DEMOKRAT,8,DPR146,"Drs. Jefirstson R. Riwu Kore, MM",L,Kristen Protestan,Kupang,1960-01-13,Kawin,Hilda Manafe,2,,,,,,,,
DPR,2009,53,NTT,5302-00-0000,NTT II,5,PARTAI GOLONGAN KARYA,2,DPR147,Drs. Setya Novanto,L,Islam,Bandung,1955-11-12,Kawin,"Deisti Astriani, SH",4,,,,,,,,
DPR,2009,53,NTT,5302-00-0000,NTT II,5,PARTAI GOLONGAN KARYA,1,DPR148,dr. Charles J. Mesang,L,Kristen Protestan,Kupang,1952-01-03,Kawin,"Dr. Ir. Wilmientje Marlene Mesang-Nalley, MS",2,,,,,,,,
DPR,2009,53,NTT,5302-00-0000,NTT II,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,1,DPR149,Herman Herry,L,Kristen,"Ende, Flores",1962-11-26,Kawin,Vonny Kristiani,2,,,,,,,,
DPR,2009,53,NTT,5302-00-0000,NTT II,6,PARTAI GERAKAN INDONESIA RAYA,1,DPR150,"Ir. Fary Djemy Francis, MMA",L,Kristen Protestan,Watampone,1968-02-07,Kawin,Yoca O Johannes,3,,,,,,,,
DPR,2009,53,NTT,5302-00-0000,NTT II,10,PARTAI HATI NURANI RAKYAT,1,DPR151,"Saleh Husin, SE., M.Si",L,Islam,Rote,1963-09-16,Kawin,"Andresca, SE",3,,,,,,,,
