id,wilayah_id,tanggal,diajukan,disetujui,digunakan,no_surat_nphd,dokumen_nphd,parpol_pendukung,
156,16219,0000-00-00,18514412650,16100000000,0,01/PHD/KPU-KAB-004-435177/V/2015,177__angg_NPHD.pdf,NULL,
157,26815,0000-00-00,13037452680,9795053680,5941752000,NO:40/KPU.KAB/031.436690/IV/2015,178_angg_SCAN NPHD PILKADA 2015.pdf,NULL,
158,12368,0000-00-00,16787051000,12473205000,1481540000,900/22/SOSIAL/2015,180_angg_NPHD_PILKADA2015.pdf,NULL,
159,12652,0000-00-00,0,0,0,Nomor : 900/5/NPHD/2015, Nomor : 270/27/KPU.K-NB/IV/2015,181_angg_NPHD.pdf,NULL
160,88856,0000-00-00,0,29347894500,0,270/319/2015 dan 08/Kpts/KPU.Kab-032.436631/V/2015,183_angg_NPHD.pdf,NULL,
161,18399,0000-00-00,26281190200,23250000000,3695944361,Nomor 27/PEMKAB/2015 dan Nomor 4/PEMKAB/2015,185__angg_File_NPHD.pdf,NULL,
162,70987,0000-00-00,0,0,0,181.1/012/Bag Kumdang & No. 01/Seskab.024.433170/IV/2015,186_angg_NPHD_KPU_Tolitoli.pdf,NULL,
163,19563,0000-00-00,32056380650,16500000000,8250000000,003/V/NPHD/DPPKAD/2015,_angg_CCF25082015_0004.pdf,NULL,
164,19563,0000-00-00,32056380650,16500000000,8250000000,003/V/NPHD/DPPKAD/2015,_angg_CCF25082015_0004.pdf,Partai Persatuan Pembangunan,
165,16073,0000-00-00,18839520355,15173401525,6359664000,1/HK/NPHD/V/2015  dan 01/KPU-KAB/004.435212/V/2015,189__angg_NPHD.pdf,NULL,
166,31958,0000-00-00,48478366250,30000000000,0,"280/PERJ.4-PEM.UM/2015, 81/KPU.IM/011.329110/V/2015",190_angg_009.jpg,NULL,
167,70617,0000-00-00,19117411800,15946331000,4485884825,181.5/0102/BPKAD/2015,191_angg_NPHD KPU Poso.pdf,NULL,
168,75264,0000-00-00,21000000000,18000000000,0,628110/Pem-LT/V/ 2015,192__angg_NPHD KAB. LUTIM.pdf,NULL,
169,13963,0000-00-00,18717062125,18717062125,0,02/DPPKAD/PPKD/2015,193__angg_NPHD 50 KOTA 2015.pdf,NULL,
170,10371,0000-00-00,39750721696,35000000000,6425528220,116/KPU-Kab-002.434832/V/2015,195_angg_NPHD PILBUB 2015.pdf,NULL,
171,73009,0000-00-00,0,15000000000,0,12/Pilbup/KPU.Kab.025.433280/V/2015,196_angg_NPHD PILKADA 2015.PDF,NULL,
172,20685,0000-00-00,29720908850,29720908850,0,270/03/KPL-OKUS/2015 dan 87/KPU.OKUS/006.435497/VIII/2015,,NULL,
173,56377,0000-00-00,0,0,0,900/681/BANT/2015,199__angg_NASKAH PERJANJIAN HIBAH DAERAH.pdf,NULL,
174,79057,0000-00-00,22000000000,16000000000,0,Nomor : 271/557/V/2015 Nomor : 01/KPU-KAB.033.433475/2015,200__angg_NPHD.pdf,NULL,
175,12939,0000-00-00,15183965460,10861960460,0,"900/7/IV/PERJ/WK-TH 2015,270/354/IV/KPU-PS/2015",201__angg_NPHD.pdf,NULL,
176,67713,0000-00-00,28000000000,24000000000,495119830,144/BPKAD-NPHD/V/2015 dan 023/KPU-BUL/021.436132/V/2015,202_angg_NPHD KPU BULUNGAN.pdf,NULL,
177,54844,0000-00-00,11471430618,11471430618,0,500 / 301 / KEBANGPOL / VI / 2015 dan 113 / NPHD / KPU-Kab-,205__angg_NPHD.pdf,Partai Keadilan Sejahtera,
178,54844,0000-00-00,11471430618,11471430618,0,500 / 301 / KEBANGPOL / VI / 2015 dan 113 / NPHD / KPU-Kab-,205__angg_NPHD.pdf,Partai Kebangkitan Bangsa,
179,54844,0000-00-00,11471430618,11471430618,0,500 / 301 / KEBANGPOL / VI / 2015 dan 113 / NPHD / KPU-Kab-,205__angg_NPHD.pdf,Partai Hati Nurani Rakyat,
180,54844,0000-00-00,11471430618,11471430618,0,500 / 301 / KEBANGPOL / VI / 2015 dan 113 / NPHD / KPU-Kab-,205__angg_NPHD.pdf,Partai Amanat Nasional,
181,54844,0000-00-00,11471430618,11471430618,0,500 / 301 / KEBANGPOL / VI / 2015 dan 113 / NPHD / KPU-Kab-,205__angg_NPHD.pdf,Partai Kesejahteraan dan Persatuan Indonesia,
182,54844,0000-00-00,11471430618,11471430618,0,500 / 301 / KEBANGPOL / VI / 2015 dan 113 / NPHD / KPU-Kab-,205__angg_NPHD.pdf,Partai NasDem,
