sumber,tanggal,judul,link,kind,tags
lensa indonesia,11-Aug-15,Lho? surat rekomendasi PAN untuk pencalonan Dhimam Abror tidak ‘asli’,http://www.lensaindonesia.com/2015/08/11/lho-surat-rekomendasi-pan-untuk-pencalonan-dhimam-abror-tidak-asli.html,news,
kabar surabaya,12-Aug-15,"Surat Rekom DPP PAN Soal Pencalonan Rasiyo-Abror, Misterius",http://kabarsurabaya.com/?p=3337,news,Rasiyo
kabar surabaya,12-Aug-15,Pendaftaran Rasiyo-Abror Masih Bermasalah,http://kabarsurabaya.com/?p=3331,news,Rasiyo
kabar surabaya,11-Aug-15,Pendaftaran Rasiyo-Abror Pastikan Risma-Whisnu Punya Penantang ?,http://kabarsurabaya.com/?p=3317,news,Risma
kabar surabaya,11-Aug-15,Aliansi Warga Surabaya Minta Pilwali Tak Diundur,http://kabarsurabaya.com/?p=3309,news,
sindo news,8/18/2015,PDIP Minta Pemerintah Cari Solusi Atasi Calon Tunggal,http://nasional.sindonews.com/read/1034026/12/pdip-minta-pemerintah-cari-solusi-atasi-calon-tunggal-1439833500,news,
suara surabaya,8/17/2015,Rekom PAN untuk Rasiyo-Dhimam Aman,http://politik.suarasurabaya.net/news/2015/157417-Rekom-PAN-untuk-Rasiyo-Dhimam-Aman,news,Rasiyo
suara surabaya,8/15/2015,KPU Surabaya: Pelengkapan Berkas Paslon Bisa Diperpanjang Sampai 30 Agustus,http://politik.suarasurabaya.net/news/2015/157331-KPU-Surabaya:-Pelengkapan-Berkas-Paslon-Bisa-Diperpanjang-Sampai-30-Agustus,news,
suara surabaya,8/17/2015,Rekomendasi Rasiyo-Dhimam Batal Diserahkan Minggu,http://politik.suarasurabaya.net/news/2015/157384-Rekomendasi-Rasiyo-Dhimam-Batal-Diserahkan-Minggu,news,Rasiyo
suara surabaya,8/15/2015,Koalisi Majapahit Segera Laporkan Panwaslih dan KPU Surabaya ke DKPP,http://politik.suarasurabaya.net/news/2015/157335-Koalisi-Majapahit-Segera-Laporkan-Panwaslih-dan-KPU-Surabaya-ke-DKPP,news,
suara surabaya,8/15/2015,Sukoto: Saya Yakin Pencalonan Rasiyo-Abror Dibatalkan,http://politik.suarasurabaya.net/news/2015/157323-Sukoto:-Saya-Yakin-Pencalonan-Rasiyo-Abror-Dibatalkan,news,Rasiyo
suara publik,8/17/2015,"Berusaha Ubah Opini Boneka, Bambang DH Sanjung Rasiyo-Abror ",http://suarapubliknews.net/politik,news,Rasiyo
suara publik,8/16/2015,"Rekom DPP PAN Siap Diserahkan, Pilkada Surabaya 2015 Tak Ditunda ",http://suarapubliknews.net/politik,news,
