id,province_id,name,link,other_link,explanation,member_link
401,82,Kabupaten Halmahera Tengah,http://haltengkab.kpu.go.id/,,Tidak Aktif,
402,82,Kabupaten Halmahera Utara,http://halutkab.kpu.go.id/,,Tidak Aktif,
403,82,Kabupaten Halmahera Selatan,http://halselkab.kpu.go.id/,,Tidak Aktif,
404,82,Kabupaten Halmahera Timur,http://haltimkab.kpu.go.id/,,Tidak Aktif,
405,82,Kabupaten Kepulauan Sula,http://kepsulakab.kpu.go.id/,,Tidak Aktif,
406,82,Kabupaten Pulau Morotai,http://kepmorotaikab.kpu.go.id/,,Tidak Aktif,
407,82,Kabupaten Pulau Taliabu,,,,
408,82,Kota Ternate,http://kpu-ternatekota.go.id/,,,
409,82,Kota Tidore Kepulauan,http://www.kputidore.com/2015/03/struktur-anggota-kpu-kota-tidore.html,,,
410,62,Kabupaten Barito Selatan,http://kpu-barselkab.go.id/,,,
411,62,Kabupaten Barito Timur,http://baritotimurkab.kpu.go.id/,,Tidak Aktif,
412,62,Kabupaten Barito Utara,http://baritoutarakab.kpu.go.id/,,Tidak Aktif,
413,62,Kabupaten Gunung Mas,http://gunungmaskab.kpu.go.id/,,,
414,62,Kabupaten Kapuas,http://kpu.kapuaskab.go.id/,,,
415,62,Kabupaten Katingan,http://www.kpu-katingankab.go.id/,,,
416,62,Kabupaten Kotawaringin Barat,http://kpu-kotawaringinbaratkab.go.id/,,,
417,62,Kabupaten Kotawaringin Timur,http://kpu-kotawaringintimurkab.go.id/,,,
418,62,Kabupaten Lamandau,http://www.kpu-lamandaukab.go.id/,,Pengembangan,
419,62,Kabupaten Murung Raya,http://kpu-kabmurungraya.go.id/,,,
420,62,Kabupaten Pulang Pisau,http://kpupulpiskalteng.webs.com/,,,
421,62,Kabupaten Sukamara,http://sukamarakab.kpu.go.id/,,Tidak Aktif,
422,62,Kabupaten Seruyan,http://seruyankab.kpu.go.id/,,Tidak Aktif,
423,62,Kota Palangka Raya,http://www.kpu-palangkarayakota.go.id/,,,
424,64,Kabupaten Berau,http://beraukab.kpu.go.id/,,Tidak Aktif,
425,64,Kabupaten Kutai Barat,http://kutaibaratkab.kpu.go.id/,http://mckpukubar.blogspot.com/,Tidak Aktif,
426,64,Kabupaten Kutai Kartanegara,http://www.kpu-kutaikartanegarakab.go.id/,,,
427,64,Kabupaten Kutai Timur,http://kpu-kutaitimurkab.go.id/home,,,
428,64,Kabupaten Paser,http://kpud-paserkab.go.id/,,,
429,64,Kabupaten Penajam Paser Utara,http://www.kpud-penajamkab.go.id/,,,
430,64,Kabupaten Mahakam Ulu,,,,
431,64,Kota Balikpapan,http://kpud-balikpapankota.go.id/,,,
432,64,Kota Bontang,http://bontangkota.kpu.go.id/,http://kpukotabontang.blogspot.com/,Tidak Aktif,
433,64,Kota Samarinda,http://kpu-samarindakota.go.id/,,,
434,63,Kabupaten Balangan,http://www.kpud-balangankab.go.id/,,,
435,63,Kabupaten Banjar,http://banjarkab.kpu.go.id/,"http://kpukabupatenbanjar.blogspot.com/, http://kpud-banjarkota.go.id",Tidak Aktif,
436,63,Kabupaten Barito Kuala,http://baritokualakab.kpu.go.id/,http://kpud-baritokuala.blogspot.com/,Tidak Aktif,
437,63,Kabupaten Hulu Sungai Selatan,http://kpu-hulusungaiselatankab.go.id/,,,
438,63,Kabupaten Hulu Sungai Tengah,http://hulusungaitengahkab.kpu.go.id/,,Tidak Aktif,
439,63,Kabupaten Hulu Sungai Utara,http://hulusungaiutarakab.kpu.go.id/,,Tidak Aktif,
440,63,Kabupaten Kotabaru,http://kotabarukab.kpu.go.id/,https://kpukotabaru.wordpress.com/tentang-kpu/anggota-kpu/,Tidak Aktif,
441,63,Kabupaten Tabalong,http://kpu.tabalongkab.go.id/,,,
442,63,Kabupaten Tanah Bumbu,http://tanahbumbukab.kpu.go.id/,,Tidak Aktif,
